"statefip","stateabbrev","area","MSAname","countyfip","county_town_name"
"02","AK","0200006","Alaska nonmetropolitan area","230","Skagway Municipality"
"02","AK","0200006","Alaska nonmetropolitan area","240","Southeast Fairbanks Census Area"
"02","AK","0200006","Alaska nonmetropolitan area","275","Wrangell City and Borough"
"02","AK","0200006","Alaska nonmetropolitan area","282","Yakutat City and Borough"
"02","AK","0200006","Alaska nonmetropolitan area","290","Yukon-Koyukuk Census Area"
"04","AZ","0400001","Arizona nonmetropolitan area","001","Apache County"
"04","AZ","43420","Sierra Vista-Douglas, AZ","003","Cochise County"
"04","AZ","22380","Flagstaff, AZ","005","Coconino County"
"04","AZ","0400001","Arizona nonmetropolitan area","007","Gila County"
"04","AZ","0400001","Arizona nonmetropolitan area","009","Graham County"
"04","AZ","0400001","Arizona nonmetropolitan area","011","Greenlee County"
"04","AZ","0400001","Arizona nonmetropolitan area","012","La Paz County"
"04","AZ","38060","Phoenix-Mesa-Chandler, AZ","013","Maricopa County"
"04","AZ","29420","Lake Havasu City-Kingman, AZ","015","Mohave County"
"04","AZ","0400001","Arizona nonmetropolitan area","017","Navajo County"
"04","AZ","46060","Tucson, AZ","019","Pima County"
"04","AZ","38060","Phoenix-Mesa-Chandler, AZ","021","Pinal County"
"04","AZ","0400001","Arizona nonmetropolitan area","023","Santa Cruz County"
"04","AZ","39150","Prescott Valley-Prescott, AZ","025","Yavapai County"
"04","AZ","49740","Yuma, AZ","027","Yuma County"
"05","AR","0500004","South Arkansas nonmetropolitan area","001","Arkansas County"
"05","AR","0500004","South Arkansas nonmetropolitan area","003","Ashley County"
"05","AR","0500001","North Arkansas nonmetropolitan area","005","Baxter County"
"05","AR","22220","Fayetteville-Springdale-Rogers, AR","007","Benton County"
"05","AR","0500001","North Arkansas nonmetropolitan area","009","Boone County"
"05","AR","0500004","South Arkansas nonmetropolitan area","011","Bradley County"
"05","AR","0500004","South Arkansas nonmetropolitan area","013","Calhoun County"
"05","AR","0500001","North Arkansas nonmetropolitan area","015","Carroll County"
"05","AR","0500004","South Arkansas nonmetropolitan area","017","Chicot County"
"05","AR","0500003","West Arkansas nonmetropolitan area","019","Clark County"
"05","AR","0500002","East Arkansas nonmetropolitan area","021","Clay County"
"05","AR","0500001","North Arkansas nonmetropolitan area","023","Cleburne County"
"05","AR","0500004","South Arkansas nonmetropolitan area","025","Cleveland County"
"05","AR","0500004","South Arkansas nonmetropolitan area","027","Columbia County"
"05","AR","0500003","West Arkansas nonmetropolitan area","029","Conway County"
"05","AR","27860","Jonesboro, AR","031","Craighead County"
"05","AR","22900","Fort Smith, AR-OK","033","Crawford County"
"05","AR","32820","Memphis, TN-MS-AR","035","Crittenden County"
"05","AR","0500002","East Arkansas nonmetropolitan area","037","Cross County"
"05","AR","0500004","South Arkansas nonmetropolitan area","039","Dallas County"
"05","AR","0500004","South Arkansas nonmetropolitan area","041","Desha County"
"05","AR","0500004","South Arkansas nonmetropolitan area","043","Drew County"
"05","AR","30780","Little Rock-North Little Rock-Conway, AR","045","Faulkner County"
"05","AR","0500003","West Arkansas nonmetropolitan area","047","Franklin County"
"05","AR","0500001","North Arkansas nonmetropolitan area","049","Fulton County"
"05","AR","26300","Hot Springs, AR","051","Garland County"
"05","AR","30780","Little Rock-North Little Rock-Conway, AR","053","Grant County"
"05","AR","0500002","East Arkansas nonmetropolitan area","055","Greene County"
"05","AR","0500004","South Arkansas nonmetropolitan area","057","Hempstead County"
"05","AR","0500003","West Arkansas nonmetropolitan area","059","Hot Spring County"
"05","AR","0500004","South Arkansas nonmetropolitan area","061","Howard County"
"05","AR","0500001","North Arkansas nonmetropolitan area","063","Independence County"
"05","AR","0500001","North Arkansas nonmetropolitan area","065","Izard County"
"05","AR","0500001","North Arkansas nonmetropolitan area","067","Jackson County"
"05","AR","0500004","South Arkansas nonmetropolitan area","069","Jefferson County"
"05","AR","0500003","West Arkansas nonmetropolitan area","071","Johnson County"
"05","AR","0500004","South Arkansas nonmetropolitan area","073","Lafayette County"
"05","AR","0500002","East Arkansas nonmetropolitan area","075","Lawrence County"
"05","AR","0500002","East Arkansas nonmetropolitan area","077","Lee County"
"05","AR","0500004","South Arkansas nonmetropolitan area","079","Lincoln County"
"05","AR","45500","Texarkana, TX-AR","081","Little River County"
"05","AR","0500003","West Arkansas nonmetropolitan area","083","Logan County"
"05","AR","30780","Little Rock-North Little Rock-Conway, AR","085","Lonoke County"
"05","AR","22220","Fayetteville-Springdale-Rogers, AR","087","Madison County"
"05","AR","0500001","North Arkansas nonmetropolitan area","089","Marion County"
"05","AR","45500","Texarkana, TX-AR","091","Miller County"
"05","AR","0500002","East Arkansas nonmetropolitan area","093","Mississippi County"
"05","AR","0500002","East Arkansas nonmetropolitan area","095","Monroe County"
"05","AR","0500003","West Arkansas nonmetropolitan area","097","Montgomery County"
"05","AR","0500004","South Arkansas nonmetropolitan area","099","Nevada County"
"05","AR","0500001","North Arkansas nonmetropolitan area","101","Newton County"
"05","AR","0500004","South Arkansas nonmetropolitan area","103","Ouachita County"
"05","AR","30780","Little Rock-North Little Rock-Conway, AR","105","Perry County"
"05","AR","0500002","East Arkansas nonmetropolitan area","107","Phillips County"
"05","AR","0500003","West Arkansas nonmetropolitan area","109","Pike County"
"05","AR","27860","Jonesboro, AR","111","Poinsett County"
"05","AR","0500003","West Arkansas nonmetropolitan area","113","Polk County"
"05","AR","0500003","West Arkansas nonmetropolitan area","115","Pope County"
"05","AR","0500002","East Arkansas nonmetropolitan area","117","Prairie County"
"05","AR","30780","Little Rock-North Little Rock-Conway, AR","119","Pulaski County"
"05","AR","0500002","East Arkansas nonmetropolitan area","121","Randolph County"
"05","AR","0500002","East Arkansas nonmetropolitan area","123","St. Francis County"
"05","AR","30780","Little Rock-North Little Rock-Conway, AR","125","Saline County"
"05","AR","0500003","West Arkansas nonmetropolitan area","127","Scott County"
"05","AR","0500001","North Arkansas nonmetropolitan area","129","Searcy County"
"05","AR","22900","Fort Smith, AR-OK","131","Sebastian County"
"05","AR","0500004","South Arkansas nonmetropolitan area","133","Sevier County"
"05","AR","0500001","North Arkansas nonmetropolitan area","135","Sharp County"
"05","AR","0500001","North Arkansas nonmetropolitan area","137","Stone County"
"05","AR","0500004","South Arkansas nonmetropolitan area","139","Union County"
"05","AR","0500001","North Arkansas nonmetropolitan area","141","Van Buren County"
"05","AR","22220","Fayetteville-Springdale-Rogers, AR","143","Washington County"
"05","AR","0500001","North Arkansas nonmetropolitan area","145","White County"
"05","AR","0500001","North Arkansas nonmetropolitan area","147","Woodruff County"
"05","AR","0500003","West Arkansas nonmetropolitan area","149","Yell County"
"06","CA","41860","San Francisco-Oakland-Fremont, CA","001","Alameda County"
"06","CA","0600006","Eastern Sierra-Mother Lode Region of California nonmetropolitan area","003","Alpine County"
"06","CA","0600006","Eastern Sierra-Mother Lode Region of California nonmetropolitan area","005","Amador County"
"06","CA","17020","Chico, CA","007","Butte County"
"06","CA","0600006","Eastern Sierra-Mother Lode Region of California nonmetropolitan area","009","Calaveras County"
"06","CA","0600007","North Valley-Northern Mountains Region of California nonmetropolitan area","011","Colusa County"
"06","CA","41860","San Francisco-Oakland-Fremont, CA","013","Contra Costa County"
"06","CA","0600003","North Coast Region of California nonmetropolitan area","015","Del Norte County"
"06","CA","40900","Sacramento-Roseville-Folsom, CA","017","El Dorado County"
"06","CA","23420","Fresno, CA","019","Fresno County"
"06","CA","0600007","North Valley-Northern Mountains Region of California nonmetropolitan area","021","Glenn County"
"06","CA","0600003","North Coast Region of California nonmetropolitan area","023","Humboldt County"
"06","CA","20940","El Centro, CA","025","Imperial County"
"06","CA","0600006","Eastern Sierra-Mother Lode Region of California nonmetropolitan area","027","Inyo County"
"06","CA","12540","Bakersfield-Delano, CA","029","Kern County"
"06","CA","25260","Hanford-Corcoran, CA","031","Kings County"
"06","CA","0600003","North Coast Region of California nonmetropolitan area","033","Lake County"
"06","CA","0600007","North Valley-Northern Mountains Region of California nonmetropolitan area","035","Lassen County"
"06","CA","31080","Los Angeles-Long Beach-Anaheim, CA","037","Los Angeles County"
"06","CA","23420","Fresno, CA","039","Madera County"
"06","CA","41860","San Francisco-Oakland-Fremont, CA","041","Marin County"
"06","CA","0600006","Eastern Sierra-Mother Lode Region of California nonmetropolitan area","043","Mariposa County"
"06","CA","0600003","North Coast Region of California nonmetropolitan area","045","Mendocino County"
"06","CA","32900","Merced, CA","047","Merced County"
"06","CA","0600007","North Valley-Northern Mountains Region of California nonmetropolitan area","049","Modoc County"
"06","CA","0600006","Eastern Sierra-Mother Lode Region of California nonmetropolitan area","051","Mono County"
"06","CA","41500","Salinas, CA","053","Monterey County"
"06","CA","34900","Napa, CA","055","Napa County"
"06","CA","0600007","North Valley-Northern Mountains Region of California nonmetropolitan area","057","Nevada County"
"06","CA","31080","Los Angeles-Long Beach-Anaheim, CA","059","Orange County"
"06","CA","40900","Sacramento-Roseville-Folsom, CA","061","Placer County"
"06","CA","0600007","North Valley-Northern Mountains Region of California nonmetropolitan area","063","Plumas County"
"06","CA","40140","Riverside-San Bernardino-Ontario, CA","065","Riverside County"
