"state","year","state_min_wage","state_min_wage_lastyr","state_min_wage_hike","state_min_wage_period","state_min_wage_last","state_min_wage_hike_last"
"AL",2050,7.25,7.25,0,0,7.25,0
"AL",2051,7.25,7.25,0,0,7.25,0
"AL",2052,7.25,7.25,0,0,7.25,0
"AL",2053,7.25,7.25,0,0,7.25,0
"AL",2054,7.25,7.25,0,0,7.25,0
"AL",2055,7.25,7.25,0,0,7.25,0
"AL",2056,7.25,7.25,0,0,7.25,0
"AL",2057,7.25,7.25,0,0,7.25,0
"AL",2058,7.25,7.25,0,0,7.25,0
"AL",2059,7.25,7.25,0,0,7.25,0
"AL",2060,7.25,7.25,0,0,7.25,0
"AL",2061,7.25,7.25,0,0,7.25,0
"AL",2062,7.25,7.25,0,0,7.25,0
"AL",2063,7.25,7.25,0,0,7.25,0
"AL",2064,7.25,7.25,0,0,7.25,0
"AL",2065,7.25,7.25,0,0,7.25,0
"AL",2066,7.25,7.25,0,0,7.25,0
"AL",2067,7.25,7.25,0,0,7.25,0
"AL",2068,7.25,7.25,0,0,7.25,0
"AL",2069,7.25,7.25,0,0,7.25,0
"AL",2070,7.25,7.25,0,0,7.25,0
"AL",2071,7.25,7.25,0,0,7.25,0
"AL",2072,7.25,7.25,0,0,7.25,0
"AL",2073,7.25,7.25,0,0,7.25,0
"AL",2074,7.25,7.25,0,0,7.25,0
"AL",2075,7.25,7.25,0,0,7.25,0
"AL",2076,7.25,7.25,0,0,7.25,0
"AL",2077,7.25,7.25,0,0,7.25,0
"AL",2078,7.25,7.25,0,0,7.25,0
"AL",2079,7.25,7.25,0,0,7.25,0
"AL",2080,7.25,7.25,0,0,7.25,0
"AL",2081,7.25,7.25,0,0,7.25,0
"AL",2082,7.25,7.25,0,0,7.25,0
"AL",2083,7.25,7.25,0,0,7.25,0
"AL",2084,7.25,7.25,0,0,7.25,0
"AL",2085,7.25,7.25,0,0,7.25,0
"AL",2086,7.25,7.25,0,0,7.25,0
"AL",2087,7.25,7.25,0,0,7.25,0
"AL",2088,7.25,7.25,0,0,7.25,0
"AL",2089,7.25,7.25,0,0,7.25,0
"AL",2090,7.25,7.25,0,0,7.25,0
"AL",2091,7.25,7.25,0,0,7.25,0
"AL",2092,7.25,7.25,0,0,7.25,0
"AL",2093,7.25,7.25,0,0,7.25,0
"AL",2094,7.25,7.25,0,0,7.25,0
"AL",2095,7.25,7.25,0,0,7.25,0
"AL",2096,7.25,7.25,0,0,7.25,0
"AL",2097,7.25,7.25,0,0,7.25,0
"AL",2098,7.25,7.25,0,0,7.25,0
"AL",2099,7.25,7.25,0,0,7.25,0
"AL",2100,7.25,7.25,0,0,7.25,0
"AR",2024,11,NA,NA,0,11,0
"AR",2025,11,11,0,0,11,0
"AR",2026,11,11,0,0,11,0
"AR",2027,11,11,0,0,11,0
"AR",2028,11,11,0,0,11,0
"AR",2029,11,11,0,0,11,0
"AR",2030,11,11,0,0,11,0
"AR",2031,11,11,0,0,11,0
"AR",2032,11,11,0,0,11,0
"AR",2033,11,11,0,0,11,0
"AR",2034,11,11,0,0,11,0
"AR",2035,11,11,0,0,11,0
"AR",2036,11,11,0,0,11,0
"AR",2037,11,11,0,0,11,0
"AR",2038,11,11,0,0,11,0
"AR",2039,11,11,0,0,11,0
"AR",2040,11,11,0,0,11,0
"AR",2041,11,11,0,0,11,0
"AR",2042,11,11,0,0,11,0
"AR",2043,11,11,0,0,11,0
"AR",2044,11,11,0,0,11,0
"AR",2045,11,11,0,0,11,0
"AR",2046,11,11,0,0,11,0
"AR",2047,11,11,0,0,11,0
"AR",2048,11,11,0,0,11,0
"AR",2049,11,11,0,0,11,0
"AR",2050,11,11,0,0,11,0
"AR",2051,11,11,0,0,11,0
"AR",2052,11,11,0,0,11,0
"AR",2053,11,11,0,0,11,0
"AR",2054,11,11,0,0,11,0
"AR",2055,11,11,0,0,11,0
"AR",2056,11,11,0,0,11,0
"AR",2057,11,11,0,0,11,0
"AR",2058,11,11,0,0,11,0
"AR",2059,11,11,0,0,11,0
"AR",2060,11,11,0,0,11,0
"AR",2061,11,11,0,0,11,0
"AR",2062,11,11,0,0,11,0
"AR",2063,11,11,0,0,11,0
"AR",2064,11,11,0,0,11,0
"AR",2065,11,11,0,0,11,0
"AR",2066,11,11,0,0,11,0
"AR",2067,11,11,0,0,11,0
"AR",2068,11,11,0,0,11,0
"AR",2069,11,11,0,0,11,0
"AR",2070,11,11,0,0,11,0
"AR",2071,11,11,0,0,11,0
"AR",2072,11,11,0,0,11,0
"AR",2073,11,11,0,0,11,0
"AR",2074,11,11,0,0,11,0
"AR",2075,11,11,0,0,11,0
"AR",2076,11,11,0,0,11,0
"AR",2077,11,11,0,0,11,0
"AR",2078,11,11,0,0,11,0
"AR",2079,11,11,0,0,11,0
"AR",2080,11,11,0,0,11,0
"AR",2081,11,11,0,0,11,0
"AR",2082,11,11,0,0,11,0
"AR",2083,11,11,0,0,11,0
"AR",2084,11,11,0,0,11,0
"AR",2085,11,11,0,0,11,0
"AR",2086,11,11,0,0,11,0
"AR",2087,11,11,0,0,11,0
"AR",2088,11,11,0,0,11,0
"AR",2089,11,11,0,0,11,0
"AR",2090,11,11,0,0,11,0
"AR",2091,11,11,0,0,11,0
"AR",2092,11,11,0,0,11,0
"AR",2093,11,11,0,0,11,0
"AR",2094,11,11,0,0,11,0
"AR",2095,11,11,0,0,11,0
"AR",2096,11,11,0,0,11,0
"AR",2097,11,11,0,0,11,0
"AR",2098,11,11,0,0,11,0
"AR",2099,11,11,0,0,11,0
